"","GEO.id","GEO.id2","GEO.display.label","Total_Pop","Male","Female","Age_0_14","Age_15_24","Age_25_64","Age_65_older","White_NonHisp","Black_NonHisp","Asian","Hisp","OtherRace","Median_Income_and_Benefits","Pct_Fam_Below_PovLine","Unemp_Rate"
"112","1400000US17031070300",17031070300,"Census Tract 703, Cook County, Illinois",3359,1675,1684,346,721,2236,56,2699,43,352,196,69,"98400","1.5","3.8"
"113","1400000US17031070400",17031070400,"Census Tract 704, Cook County, Illinois",3252,1843,1409,470,409,1953,420,2658,156,92,311,35,"93347","1.2","4.6"
"114","1400000US17031070500",17031070500,"Census Tract 705, Cook County, Illinois",3045,1712,1333,375,706,1523,441,2633,67,186,156,3,"101406","0.0","4.7"
"115","1400000US17031070600",17031070600,"Census Tract 706, Cook County, Illinois",2960,1499,1461,567,461,1799,133,2652,8,71,199,30,"131735","0.0","2.5"
"116","1400000US17031070700",17031070700,"Census Tract 707, Cook County, Illinois",2973,1567,1406,533,489,1855,96,1927,215,409,327,95,"108068","6.0","3.5"
"117","1400000US17031071000",17031071000,"Census Tract 710, Cook County, Illinois",4277,1778,2499,309,2418,1421,129,3323,195,251,346,162,"104485","2.0","7.9"
"118","1400000US17031071100",17031071100,"Census Tract 711, Cook County, Illinois",2948,1246,1702,206,1157,1388,197,2539,91,125,145,48,"100341","0.0","4.0"
"119","1400000US17031071200",17031071200,"Census Tract 712, Cook County, Illinois",1957,883,1074,162,387,1185,223,1659,77,119,91,11,"83555","3.0","3.6"
"120","1400000US17031071300",17031071300,"Census Tract 713, Cook County, Illinois",3749,1632,2117,347,716,2380,306,3346,104,168,104,27,"89485","5.2","1.9"
"121","1400000US17031071400",17031071400,"Census Tract 714, Cook County, Illinois",4557,2028,2529,412,637,3201,307,3866,183,190,250,68,"71208","3.4","2.1"
"122","1400000US17031071500",17031071500,"Census Tract 715, Cook County, Illinois",5481,2482,2999,413,491,4152,425,4645,396,164,263,13,"79406","6.4","4.1"
"123","1400000US17031071600",17031071600,"Census Tract 716, Cook County, Illinois",1786,865,921,246,261,1082,197,1483,57,84,97,65,"119286","4.6","0.8"
"124","1400000US17031071700",17031071700,"Census Tract 717, Cook County, Illinois",1733,870,863,222,283,1089,139,1283,192,94,158,6,"116875","3.8","2.5"
"125","1400000US17031071800",17031071800,"Census Tract 718, Cook County, Illinois",2449,1249,1200,441,197,1624,187,2005,244,112,88,0,"104453","0.0","1.5"
"126","1400000US17031080100",17031080100,"Census Tract 801, Cook County, Illinois",5767,2270,3497,277,432,3423,1635,5137,54,289,134,153,"81458","1.4","2.2"
"127","1400000US17031080201",17031080201,"Census Tract 802.01, Cook County, Illinois",3488,1518,1970,212,228,2178,870,3074,64,170,110,70,"76765","1.4","3.0"
"128","1400000US17031080202",17031080202,"Census Tract 802.02, Cook County, Illinois",3178,1468,1710,100,204,2453,421,2616,217,196,149,0,"84688","0.0","2.8"
"129","1400000US17031080300",17031080300,"Census Tract 803, Cook County, Illinois",4303,2188,2115,301,288,3410,304,3485,250,286,263,19,"91104","3.8","1.8"
"130","1400000US17031080400",17031080400,"Census Tract 804, Cook County, Illinois",4772,2209,2563,1475,695,2443,159,1352,2935,145,272,68,"13185","53.7","11.5"
"131","1400000US17031081000",17031081000,"Census Tract 810, Cook County, Illinois",7508,3453,4055,110,1752,4213,1433,5203,844,954,426,81,"50851","15.7","3.9"
"132","1400000US17031081100",17031081100,"Census Tract 811, Cook County, Illinois",3384,1660,1724,44,513,2428,399,2736,281,241,108,18,"58426","16.1","7.1"
"133","1400000US17031081201",17031081201,"Census Tract 812.01, Cook County, Illinois",3852,1755,2097,126,466,2190,1070,3045,68,485,157,97,"70521","0.0","7.8"
"134","1400000US17031081202",17031081202,"Census Tract 812.02, Cook County, Illinois",2925,1228,1697,104,331,1468,1022,2512,0,105,227,81,"88077","0.0","3.4"
"135","1400000US17031081300",17031081300,"Census Tract 813, Cook County, Illinois",5308,2420,2888,209,443,3100,1556,4376,151,633,148,0,"93584","1.2","3.5"
"136","1400000US17031081401",17031081401,"Census Tract 814.01, Cook County, Illinois",2497,1211,1286,74,359,1364,700,1740,445,221,29,62,"88464","0.0","12.2"
"137","1400000US17031081402",17031081402,"Census Tract 814.02, Cook County, Illinois",4033,2085,1948,257,303,2832,641,3186,64,488,195,100,"106818","1.5","1.1"
"138","1400000US17031081403",17031081403,"Census Tract 814.03, Cook County, Illinois",5682,2783,2899,212,423,4543,504,3756,184,1131,445,166,"70539","2.3","3.3"
"139","1400000US17031081500",17031081500,"Census Tract 815, Cook County, Illinois",4031,1841,2190,146,430,3012,443,3154,100,604,82,91,"89350","3.7","3.3"
"140","1400000US17031081600",17031081600,"Census Tract 816, Cook County, Illinois",3341,1557,1784,233,290,2510,308,2335,37,505,233,231,"88319","17.3","6.9"
"141","1400000US17031081700",17031081700,"Census Tract 817, Cook County, Illinois",2814,1442,1372,294,417,2036,67,1747,156,381,504,26,"80134","4.8","4.4"
"142","1400000US17031081800",17031081800,"Census Tract 818, Cook County, Illinois",6375,2713,3662,344,328,5477,226,5088,173,661,188,265,"103609","0.0","2.6"
"143","1400000US17031081900",17031081900,"Census Tract 819, Cook County, Illinois",1293,574,719,232,199,731,131,413,720,67,73,20,"84196","41.2","10.1"
"144","1400000US17031090100",17031090100,"Census Tract 901, Cook County, Illinois",3408,1483,1925,671,281,2056,400,3046,0,59,293,10,"87083","2.6","3.3"
"145","1400000US17031090200",17031090200,"Census Tract 902, Cook County, Illinois",6342,3194,3148,1028,500,3821,993,5783,1,179,252,127,"80908","1.1","5.7"
"146","1400000US17031090300",17031090300,"Census Tract 903, Cook County, Illinois",1485,697,788,225,254,788,218,1453,0,4,24,4,"87431","1.8","6.0"
"147","1400000US17031100100",17031100100,"Census Tract 1001, Cook County, Illinois",5983,2955,3028,1268,789,3137,789,4399,47,463,915,159,"65046","2.1","5.5"
"148","1400000US17031100200",17031100200,"Census Tract 1002, Cook County, Illinois",7049,3625,3424,1294,557,4051,1147,5415,169,189,1251,25,"74710","1.8","4.8"
"149","1400000US17031100300",17031100300,"Census Tract 1003, Cook County, Illinois",6250,2905,3345,912,734,2758,1846,5438,68,53,683,8,"64960","2.9","4.1"
"150","1400000US17031100400",17031100400,"Census Tract 1004, Cook County, Illinois",3122,1486,1636,702,177,1650,593,2663,5,121,333,0,"78681","5.6","4.3"
"151","1400000US17031100500",17031100500,"Census Tract 1005, Cook County, Illinois",5866,2861,3005,1226,462,3242,936,4573,4,206,1057,26,"80497","0.0","5.5"
"152","1400000US17031100600",17031100600,"Census Tract 1006, Cook County, Illinois",4505,2105,2400,790,470,2295,950,3531,0,383,545,46,"57962","1.9","6.7"
"153","1400000US17031100700",17031100700,"Census Tract 1007, Cook County, Illinois",4501,2089,2412,657,485,2368,991,3704,2,280,491,24,"69375","6.9","6.0"
"154","1400000US17031110100",17031110100,"Census Tract 1101, Cook County, Illinois",5403,2654,2749,1089,640,3000,674,3881,102,398,860,162,"63981","3.5","7.9"
"155","1400000US17031110200",17031110200,"Census Tract 1102, Cook County, Illinois",2983,1473,1510,561,463,1557,402,2101,1,305,434,142,"55164","8.7","10.8"
"156","1400000US17031110300",17031110300,"Census Tract 1103, Cook County, Illinois",4998,2506,2492,905,516,2848,729,3623,0,461,863,51,"70545","3.2","4.8"
"157","1400000US17031110400",17031110400,"Census Tract 1104, Cook County, Illinois",4714,2428,2286,673,499,2658,884,3204,13,273,1215,9,"51053","2.6","8.2"
"158","1400000US17031110501",17031110501,"Census Tract 1105.01, Cook County, Illinois",4529,2107,2422,803,520,2617,589,2519,95,601,1266,48,"55268","1.2","10.0"
"159","1400000US17031110502",17031110502,"Census Tract 1105.02, Cook County, Illinois",3472,1742,1730,444,396,2201,431,2549,36,184,694,9,"51827","6.6","6.8"
"160","1400000US17031120100",17031120100,"Census Tract 1201, Cook County, Illinois",4297,2186,2111,996,388,2175,738,3681,66,230,271,49,"104493","1.4","5.1"
"161","1400000US17031120200",17031120200,"Census Tract 1202, Cook County, Illinois",4202,1931,2271,830,367,2276,729,3405,32,365,301,99,"88063","1.7","3.4"
"162","1400000US17031120300",17031120300,"Census Tract 1203, Cook County, Illinois",6565,3114,3451,1318,681,3437,1129,4317,165,1359,699,25,"101306","5.4","4.0"
"163","1400000US17031120400",17031120400,"Census Tract 1204, Cook County, Illinois",3760,2002,1758,851,532,2024,353,2033,28,442,1205,52,"67147","15.3","4.2"
"164","1400000US17031130100",17031130100,"Census Tract 1301, Cook County, Illinois",5071,2270,2801,903,436,2077,1655,3204,266,958,460,183,"35294","10.3","4.7"
